Week Ending,Excess Death Rate
"Sept. 14, 1918",-3
"Sept. 21, 1918",30
"Sept. 28, 1918",154
,
"Oct. 5, 1918",1991
"Oct. 12, 1918",7623
"Oct. 19, 1918",13362
"Oct. 26, 1918",8741
,
"Nov. 2, 1918",3408
"Nov. 9, 1918",974
"Nov. 16, 1918",344
"Nov. 23, 1918",150
"Nov. 30, 1918",103
,
"Dec. 7, 1918",110
"Dec. 14, 1918",97
"Dec. 21, 1918",189
"Dec. 28, 1918",121
,
"Jan. 4, 1919",143
"Jan. 11, 1919",279
"Jan. 18, 1919",371
"Jan. 25, 1919",454
,
"Feb. 1, 1919",597
"Feb. 8, 1919",467
"Feb. 15, 1919",382
"Feb. 22, 1919",382
,
"Mar. 1, 1919",314
"Mar. 8, 1919",247
"Mar. 15, 1919",198
"Mar. 22, 1919",177
"Mar. 29, 1919",111
,
"Apr. 5, 1919",43
"Apr. 12, 1919",117
"Apr. 19, 1919",79
"Apr. 26, 1919",84
,
"May 3, 1919",10
"May 10, 1919",23
"May 17, 1919",11
"May 24, 1919",-2
"May 31, 1919",0
